,Annee,station.IKMT,latitude,longitude,SSTmean,ECmean,Chlamean,bat,temp_200,salinite_200,groupe,Famille,species,abundance
178,2018,IK2018_21,-45.003,73.312,10.36282196,0.143433036,0.256411491,-3530,12.1664,35.0246,1,Myctophidae,Diaphus_meadi,0
179,2018,IK2018_22,-42.502,74.8559,14.23249156,0.039823091,0.494396824,-3362,12.6097,35.1604,1,Myctophidae,Diaphus_meadi,5.555555556
180,2018,IK2018_23,-39.9912,76.4084,16.13466237,0.006912826,0.337294127,-3519,13.1132,35.2029,1,Myctophidae,Diaphus_meadi,3.03030303
181,2018,IK2018_24,-38.9686,77.5713,16.75816142,0.003163067,0.243194078,-1532,13.1084,35.2032,1,Myctophidae,Diaphus_meadi,0
182,2018,IK2018_25,-38.6755,77.8938,16.94332479,0.004816991,0.337064299,-1682,13.1089,35.2036,1,Myctophidae,Diaphus_meadi,20
183,2018,IK2018_26,-37.6508,78.4235,18.12182872,0.001440911,0.171705157,-1425,13.1024,35.203,1,Myctophidae,Diaphus_meadi,7.692307692
184,2018,IK2018_27,-35.4851,79.9236,19.7113266,0.00607545,0.073580243,-2868,13.0983,35.2026,1,Myctophidae,Diaphus_meadi,6.557377049
185,2018,IK2018_28,-33.2071,82.6472,21.12332865,0.002145002,0.049456295,-3683,13.098,35.2045,1,Myctophidae,Diaphus_meadi,2.941176471
186,2017,IK2017_2,-42.4387,52.4087,10.20082804,0.017764423,0.561066529,-3683,4.7825,33.9695,5,Myctophidae,Diaphus_taaningi,0
187,2017,IK2017_3,-44.9876,51.9514,6.577825419,0.00336274,0.368650128,-3220,3.0346,33.9748,4,Myctophidae,Diaphus_taaningi,0
188,2017,IK2017_8,-54.9853,51.9964,2.42849528,0.001706199,0.123468077,-4506,0.7436,34.0951,2,Myctophidae,Diaphus_taaningi,0
189,2017,IK2017_9,-54.9585,51.986,2.426828512,0.001706199,0.123468077,-4420,0.7436,34.0951,2,Myctophidae,Diaphus_taaningi,0
190,2017,IK2017_10,-56.4622,62.9704,2.487994893,0.007518361,0.150311953,-4817,1.162,33.9911,2,Myctophidae,Diaphus_taaningi,0
191,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Diaphus_taaningi,0
192,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Diaphus_taaningi,0
193,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Diaphus_taaningi,0
194,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Diaphus_taaningi,0
195,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Diaphus_taaningi,0
196,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Diaphus_taaningi,0
197,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Diaphus_taaningi,0
198,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Diaphus_taaningi,0
199,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Diaphus_taaningi,0
200,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Diaphus_taaningi,0
201,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Diaphus_taaningi,0
202,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Diaphus_taaningi,6.666666667
203,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Diaphus_taaningi,0
204,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Diaphus_taaningi,0
205,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Diaphus_taaningi,0
206,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Diaphus_taaningi,0
207,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Diaphus_taaningi,0
208,2018,IK2018_9,-55.2784,54.0685,2.321496073,0.005641968,0.159610136,-5237,1.2294,34.2623,2,Myctophidae,Diaphus_taaningi,0
209,2018,IK2018_10,-56.5003,63.0527,2.158826701,0.005649892,0.138198996,-4814,1.2041,34.0468,3,Myctophidae,Diaphus_taaningi,0
210,2018,IK2018_11,-48.499,64.9897,5.292660014,0.002292746,0.164913331,-1960,2.4638,33.9131,2,Myctophidae,Diaphus_taaningi,0
211,2018,IK2018_12,-46.5993,60.5361,8.553825378,0.03977333,0.214767126,-4462,2.4603,33.9148,5,Myctophidae,Diaphus_taaningi,0
212,2018,IK2018_13,-50.6602,68.4007,4.364493306,0.000370372,0.194200864,-1650,2.5,33.9234,4,Myctophidae,Diaphus_taaningi,0
213,2018,IK2018_19,-48.8597,72.436,4.749663289,0.000419465,0.44983378,-2043,1.8882,34.1203,3,Myctophidae,Diaphus_taaningi,0
214,2018,IK2018_20,-47.0128,72.034,6.781328837,0.020217207,0.269397553,-1265,3.0527,33.8724,5,Myctophidae,Diaphus_taaningi,0
215,2018,IK2018_21,-45.003,73.312,10.36282196,0.143433036,0.256411491,-3530,12.1664,35.0246,1,Myctophidae,Diaphus_taaningi,0
216,2018,IK2018_22,-42.502,74.8559,14.23249156,0.039823091,0.494396824,-3362,12.6097,35.1604,1,Myctophidae,Diaphus_taaningi,0
217,2018,IK2018_23,-39.9912,76.4084,16.13466237,0.006912826,0.337294127,-3519,13.1132,35.2029,1,Myctophidae,Diaphus_taaningi,0
218,2018,IK2018_24,-38.9686,77.5713,16.75816142,0.003163067,0.243194078,-1532,13.1084,35.2032,1,Myctophidae,Diaphus_taaningi,0
219,2018,IK2018_25,-38.6755,77.8938,16.94332479,0.004816991,0.337064299,-1682,13.1089,35.2036,1,Myctophidae,Diaphus_taaningi,0
220,2018,IK2018_26,-37.6508,78.4235,18.12182872,0.001440911,0.171705157,-1425,13.1024,35.203,1,Myctophidae,Diaphus_taaningi,0
221,2018,IK2018_27,-35.4851,79.9236,19.7113266,0.00607545,0.073580243,-2868,13.0983,35.2026,1,Myctophidae,Diaphus_taaningi,0
222,2018,IK2018_28,-33.2071,82.6472,21.12332865,0.002145002,0.049456295,-3683,13.098,35.2045,1,Myctophidae,Diaphus_taaningi,0
223,2017,IK2017_2,-42.4387,52.4087,10.20082804,0.017764423,0.561066529,-3683,4.7825,33.9695,5,Myctophidae,Diogenichthys_altantius,0
224,2017,IK2017_3,-44.9876,51.9514,6.577825419,0.00336274,0.368650128,-3220,3.0346,33.9748,4,Myctophidae,Diogenichthys_altantius,0
225,2017,IK2017_8,-54.9853,51.9964,2.42849528,0.001706199,0.123468077,-4506,0.7436,34.0951,2,Myctophidae,Diogenichthys_altantius,0
226,2017,IK2017_9,-54.9585,51.986,2.426828512,0.001706199,0.123468077,-4420,0.7436,34.0951,2,Myctophidae,Diogenichthys_altantius,0
227,2017,IK2017_10,-56.4622,62.9704,2.487994893,0.007518361,0.150311953,-4817,1.162,33.9911,2,Myctophidae,Diogenichthys_altantius,0
228,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Diogenichthys_altantius,0
229,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Diogenichthys_altantius,0
230,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Diogenichthys_altantius,0
231,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Diogenichthys_altantius,0
232,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Diogenichthys_altantius,0
233,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Diogenichthys_altantius,0
234,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Diogenichthys_altantius,0
235,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Diogenichthys_altantius,0
236,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Diogenichthys_altantius,0
237,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Diogenichthys_altantius,0
238,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Diogenichthys_altantius,0
239,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Diogenichthys_altantius,6.666666667
240,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Diogenichthys_altantius,0
241,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Diogenichthys_altantius,0
242,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Diogenichthys_altantius,0
243,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Diogenichthys_altantius,0
244,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Diogenichthys_altantius,0
245,2018,IK2018_9,-55.2784,54.0685,2.321496073,0.005641968,0.159610136,-5237,1.2294,34.2623,2,Myctophidae,Diogenichthys_altantius,0
246,2018,IK2018_10,-56.5003,63.0527,2.158826701,0.005649892,0.138198996,-4814,1.2041,34.0468,3,Myctophidae,Diogenichthys_altantius,0
247,2018,IK2018_11,-48.499,64.9897,5.292660014,0.002292746,0.164913331,-1960,2.4638,33.9131,2,Myctophidae,Diogenichthys_altantius,0
248,2018,IK2018_12,-46.5993,60.5361,8.553825378,0.03977333,0.214767126,-4462,2.4603,33.9148,5,Myctophidae,Diogenichthys_altantius,0
249,2018,IK2018_13,-50.6602,68.4007,4.364493306,0.000370372,0.194200864,-1650,2.5,33.9234,4,Myctophidae,Diogenichthys_altantius,0
250,2018,IK2018_19,-48.8597,72.436,4.749663289,0.000419465,0.44983378,-2043,1.8882,34.1203,3,Myctophidae,Diogenichthys_altantius,0
251,2018,IK2018_20,-47.0128,72.034,6.781328837,0.020217207,0.269397553,-1265,3.0527,33.8724,5,Myctophidae,Diogenichthys_altantius,0
252,2018,IK2018_21,-45.003,73.312,10.36282196,0.143433036,0.256411491,-3530,12.1664,35.0246,1,Myctophidae,Diogenichthys_altantius,0
253,2018,IK2018_22,-42.502,74.8559,14.23249156,0.039823091,0.494396824,-3362,12.6097,35.1604,1,Myctophidae,Diogenichthys_altantius,0
254,2018,IK2018_23,-39.9912,76.4084,16.13466237,0.006912826,0.337294127,-3519,13.1132,35.2029,1,Myctophidae,Diogenichthys_altantius,0
255,2018,IK2018_24,-38.9686,77.5713,16.75816142,0.003163067,0.243194078,-1532,13.1084,35.2032,1,Myctophidae,Diogenichthys_altantius,0
256,2018,IK2018_25,-38.6755,77.8938,16.94332479,0.004816991,0.337064299,-1682,13.1089,35.2036,1,Myctophidae,Diogenichthys_altantius,0
257,2018,IK2018_26,-37.6508,78.4235,18.12182872,0.001440911,0.171705157,-1425,13.1024,35.203,1,Myctophidae,Diogenichthys_altantius,0
258,2018,IK2018_27,-35.4851,79.9236,19.7113266,0.00607545,0.073580243,-2868,13.0983,35.2026,1,Myctophidae,Diogenichthys_altantius,9.836065574
259,2018,IK2018_28,-33.2071,82.6472,21.12332865,0.002145002,0.049456295,-3683,13.098,35.2045,1,Myctophidae,Diogenichthys_altantius,0
260,2017,IK2017_2,-42.4387,52.4087,10.20082804,0.017764423,0.561066529,-3683,4.7825,33.9695,5,Myctophidae,Electrona_antarctica,0
261,2017,IK2017_3,-44.9876,51.9514,6.577825419,0.00336274,0.368650128,-3220,3.0346,33.9748,4,Myctophidae,Electrona_antarctica,15.38461538
262,2017,IK2017_8,-54.9853,51.9964,2.42849528,0.001706199,0.123468077,-4506,0.7436,34.0951,2,Myctophidae,Electrona_antarctica,70
263,2017,IK2017_9,-54.9585,51.986,2.426828512,0.001706199,0.123468077,-4420,0.7436,34.0951,2,Myctophidae,Electrona_antarctica,63.15789474
264,2017,IK2017_10,-56.4622,62.9704,2.487994893,0.007518361,0.150311953,-4817,1.162,33.9911,2,Myctophidae,Electrona_antarctica,60.9375
265,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Electrona_antarctica,36.23188406
266,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Electrona_antarctica,3.703703704
267,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Electrona_antarctica,5.660377358
268,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Electrona_antarctica,20.58823529
269,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Electrona_antarctica,16.66666667
270,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Electrona_antarctica,22.72727273
271,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Electrona_antarctica,16.66666667
272,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Electrona_antarctica,4.545454545
273,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Electrona_antarctica,0
274,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Electrona_antarctica,0
275,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Electrona_antarctica,0
276,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Electrona_antarctica,0
277,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Electrona_antarctica,0
278,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Electrona_antarctica,0
279,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Electrona_antarctica,0
280,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Electrona_antarctica,0
281,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Electrona_antarctica,50
282,2018,IK2018_9,-55.2784,54.0685,2.321496073,0.005641968,0.159610136,-5237,1.2294,34.2623,2,Myctophidae,Electrona_antarctica,14.28571429
283,2018,IK2018_10,-56.5003,63.0527,2.158826701,0.005649892,0.138198996,-4814,1.2041,34.0468,3,Myctophidae,Electrona_antarctica,0
284,2018,IK2018_11,-48.499,64.9897,5.292660014,0.002292746,0.164913331,-1960,2.4638,33.9131,2,Myctophidae,Electrona_antarctica,19.23076923
285,2018,IK2018_12,-46.5993,60.5361,8.553825378,0.03977333,0.214767126,-4462,2.4603,33.9148,5,Myctophidae,Electrona_antarctica,0
286,2018,IK2018_13,-50.6602,68.4007,4.364493306,0.000370372,0.194200864,-1650,2.5,33.9234,4,Myctophidae,Electrona_antarctica,0
287,2018,IK2018_19,-48.8597,72.436,4.749663289,0.000419465,0.44983378,-2043,1.8882,34.1203,3,Myctophidae,Electrona_antarctica,13.82978723
288,2018,IK2018_20,-47.0128,72.034,6.781328837,0.020217207,0.269397553,-1265,3.0527,33.8724,5,Myctophidae,Electrona_antarctica,0
289,2018,IK2018_21,-45.003,73.312,10.36282196,0.143433036,0.256411491,-3530,12.1664,35.0246,1,Myctophidae,Electrona_antarctica,0
290,2018,IK2018_22,-42.502,74.8559,14.23249156,0.039823091,0.494396824,-3362,12.6097,35.1604,1,Myctophidae,Electrona_antarctica,0
291,2018,IK2018_23,-39.9912,76.4084,16.13466237,0.006912826,0.337294127,-3519,13.1132,35.2029,1,Myctophidae,Electrona_antarctica,0
292,2018,IK2018_24,-38.9686,77.5713,16.75816142,0.003163067,0.243194078,-1532,13.1084,35.2032,1,Myctophidae,Electrona_antarctica,0
293,2018,IK2018_25,-38.6755,77.8938,16.94332479,0.004816991,0.337064299,-1682,13.1089,35.2036,1,Myctophidae,Electrona_antarctica,0
294,2018,IK2018_26,-37.6508,78.4235,18.12182872,0.001440911,0.171705157,-1425,13.1024,35.203,1,Myctophidae,Electrona_antarctica,0
295,2018,IK2018_27,-35.4851,79.9236,19.7113266,0.00607545,0.073580243,-2868,13.0983,35.2026,1,Myctophidae,Electrona_antarctica,0
296,2018,IK2018_28,-33.2071,82.6472,21.12332865,0.002145002,0.049456295,-3683,13.098,35.2045,1,Myctophidae,Electrona_antarctica,0
297,2017,IK2017_2,-42.4387,52.4087,10.20082804,0.017764423,0.561066529,-3683,4.7825,33.9695,5,Myctophidae,Electrona_carlsbergi,0
298,2017,IK2017_3,-44.9876,51.9514,6.577825419,0.00336274,0.368650128,-3220,3.0346,33.9748,4,Myctophidae,Electrona_carlsbergi,0
299,2017,IK2017_8,-54.9853,51.9964,2.42849528,0.001706199,0.123468077,-4506,0.7436,34.0951,2,Myctophidae,Electrona_carlsbergi,0
300,2017,IK2017_9,-54.9585,51.986,2.426828512,0.001706199,0.123468077,-4420,0.7436,34.0951,2,Myctophidae,Electrona_carlsbergi,0
301,2017,IK2017_10,-56.4622,62.9704,2.487994893,0.007518361,0.150311953,-4817,1.162,33.9911,2,Myctophidae,Electrona_carlsbergi,0
302,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Electrona_carlsbergi,0
303,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Electrona_carlsbergi,0
304,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Electrona_carlsbergi,0
305,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Electrona_carlsbergi,0
306,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Electrona_carlsbergi,0
307,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Electrona_carlsbergi,0
308,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Electrona_carlsbergi,0
309,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Electrona_carlsbergi,0
310,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Electrona_carlsbergi,0
311,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Electrona_carlsbergi,0
312,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Electrona_carlsbergi,0
313,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Electrona_carlsbergi,0
314,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Electrona_carlsbergi,0
315,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Electrona_carlsbergi,0
316,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Electrona_carlsbergi,0
317,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Electrona_carlsbergi,0
318,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Electrona_carlsbergi,0
319,2018,IK2018_9,-55.2784,54.0685,2.321496073,0.005641968,0.159610136,-5237,1.2294,34.2623,2,Myctophidae,Electrona_carlsbergi,0
320,2018,IK2018_10,-56.5003,63.0527,2.158826701,0.005649892,0.138198996,-4814,1.2041,34.0468,3,Myctophidae,Electrona_carlsbergi,0
321,2018,IK2018_11,-48.499,64.9897,5.292660014,0.002292746,0.164913331,-1960,2.4638,33.9131,2,Myctophidae,Electrona_carlsbergi,0
322,2018,IK2018_12,-46.5993,60.5361,8.553825378,0.03977333,0.214767126,-4462,2.4603,33.9148,5,Myctophidae,Electrona_carlsbergi,0
323,2018,IK2018_13,-50.6602,68.4007,4.364493306,0.000370372,0.194200864,-1650,2.5,33.9234,4,Myctophidae,Electrona_carlsbergi,25
324,2018,IK2018_19,-48.8597,72.436,4.749663289,0.000419465,0.44983378,-2043,1.8882,34.1203,3,Myctophidae,Electrona_carlsbergi,1.063829787
325,2018,IK2018_20,-47.0128,72.034,6.781328837,0.020217207,0.269397553,-1265,3.0527,33.8724,5,Myctophidae,Electrona_carlsbergi,10
326,2018,IK2018_21,-45.003,73.312,10.36282196,0.143433036,0.256411491,-3530,12.1664,35.0246,1,Myctophidae,Electrona_carlsbergi,0
327,2018,IK2018_22,-42.502,74.8559,14.23249156,0.039823091,0.494396824,-3362,12.6097,35.1604,1,Myctophidae,Electrona_carlsbergi,0
328,2018,IK2018_23,-39.9912,76.4084,16.13466237,0.006912826,0.337294127,-3519,13.1132,35.2029,1,Myctophidae,Electrona_carlsbergi,0
329,2018,IK2018_24,-38.9686,77.5713,16.75816142,0.003163067,0.243194078,-1532,13.1084,35.2032,1,Myctophidae,Electrona_carlsbergi,0
330,2018,IK2018_25,-38.6755,77.8938,16.94332479,0.004816991,0.337064299,-1682,13.1089,35.2036,1,Myctophidae,Electrona_carlsbergi,0
331,2018,IK2018_26,-37.6508,78.4235,18.12182872,0.001440911,0.171705157,-1425,13.1024,35.203,1,Myctophidae,Electrona_carlsbergi,0
332,2018,IK2018_27,-35.4851,79.9236,19.7113266,0.00607545,0.073580243,-2868,13.0983,35.2026,1,Myctophidae,Electrona_carlsbergi,0
333,2018,IK2018_28,-33.2071,82.6472,21.12332865,0.002145002,0.049456295,-3683,13.098,35.2045,1,Myctophidae,Electrona_carlsbergi,0
334,2017,IK2017_2,-42.4387,52.4087,10.20082804,0.017764423,0.561066529,-3683,4.7825,33.9695,5,Myctophidae,Electrona_paucirastra,0
335,2017,IK2017_3,-44.9876,51.9514,6.577825419,0.00336274,0.368650128,-3220,3.0346,33.9748,4,Myctophidae,Electrona_paucirastra,0
336,2017,IK2017_8,-54.9853,51.9964,2.42849528,0.001706199,0.123468077,-4506,0.7436,34.0951,2,Myctophidae,Electrona_paucirastra,0
337,2017,IK2017_9,-54.9585,51.986,2.426828512,0.001706199,0.123468077,-4420,0.7436,34.0951,2,Myctophidae,Electrona_paucirastra,0
338,2017,IK2017_10,-56.4622,62.9704,2.487994893,0.007518361,0.150311953,-4817,1.162,33.9911,2,Myctophidae,Electrona_paucirastra,0
339,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Electrona_paucirastra,0
340,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Electrona_paucirastra,0
341,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Electrona_paucirastra,0
342,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Electrona_paucirastra,0
343,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Electrona_paucirastra,0
344,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Electrona_paucirastra,0
345,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Electrona_paucirastra,0
346,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Electrona_paucirastra,0
347,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Electrona_paucirastra,0
348,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Electrona_paucirastra,20
349,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Electrona_paucirastra,0
350,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Electrona_paucirastra,0
351,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Electrona_paucirastra,0
352,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Electrona_paucirastra,0
353,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Electrona_paucirastra,0
354,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Electrona_paucirastra,0
355,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Electrona_paucirastra,0
356,2018,IK2018_9,-55.2784,54.0685,2.321496073,0.005641968,0.159610136,-5237,1.2294,34.2623,2,Myctophidae,Electrona_paucirastra,0
357,2018,IK2018_10,-56.5003,63.0527,2.158826701,0.005649892,0.138198996,-4814,1.2041,34.0468,3,Myctophidae,Electrona_paucirastra,0
